date,GRCPAIAD,GRCPAISDR,GRCPAIUSD,GRCPRCAD,GRCPRCSDR,GRCPRCUSD,GRCPNRAD,GRCPNRSDR,GRCPNRUSD,GRCPBMAD,GRCPBMSDR,GRCPBMUSD,GRCPBCAD,GRCPBCSDR,GRCPBCUSD,GRCPAISAD,GRCPAISSDR,GRCPAISUSD,GRCPBCSAD,GRCPBCSSDR,GRCPBCSUSD
1995-01-01,29.7766986829848,32.0005023089741,35.2311089945901,54.2715126442972,58.340808068307,64.1967574852942,25.4155996196123,27.3126899099895,30.0721655147216,42.8581721228769,46.0737251960693,50.71490034214,21.3163995856502,22.8954883505933,25.2132048562994,,,,,,
1995-02-01,29.9443678772372,31.0569844358213,34.4806027803075,55.7076551447626,57.7935374682099,64.1306995112245,25.3169773293511,26.2566824646264,29.1531929845633,40.4504715860399,41.9669258636554,46.5838579651107,21.8168736734631,22.6147848884685,25.1140438824378,,,,,,
1995-03-01,30.2677819557229,29.82445526296,34.3537094068186,56.6608166422819,55.8463787867485,64.2935297437124,25.5152570478003,25.1406056491389,28.9606005740706,39.3926576108909,38.8281446136014,44.7157465866022,22.1859716490385,21.848729426813,25.1730551139079,,,,,,
1995-04-01,30.4874679309142,29.2742494504796,34.6714301561699,54.9448020809001,52.7729401343102,62.4695549267877,26.1553027560563,25.1135454146497,29.7457364783608,39.9582177561404,38.380440573051,45.4473613015759,22.9212464309518,21.9967466310353,26.0587189568294,,,,,,
1995-05-01,30.9142939284427,29.6912757553179,34.7637440606443,55.6407121669947,53.4542784164453,62.5534534024789,26.5371555507527,25.486356948839,29.8425655970967,38.9212143343417,37.3934333116145,43.7729441171433,23.8460557422834,22.8897943499505,26.806999045902,,,,,,
1995-06-01,31.6312669186119,29.9216051368717,35.1659237023396,56.9571422837059,53.8935456093219,63.3060232023501,27.1470544176502,25.6788090902618,30.1816328007419,40.3578482074177,38.1887758146109,44.8730520392464,24.5780988672892,23.2365900859408,27.3160665069206,,,,,,
1995-07-01,31.2708894646816,29.9967966138664,35.1168188305311,54.8819684634066,52.6604527428179,61.616356113766,27.1427298310601,26.0358662890527,30.4819700140129,41.7976616150687,40.1075435271836,46.943890840235,24.5773298471017,23.5627052975606,27.5914206725077,,,,,,
1995-08-01,30.7163392737207,30.9287604869997,35.1747994199526,53.6916496997345,54.0779316065417,61.4695905843824,26.7077984731597,26.8914991875964,30.5854475100128,41.2616663701588,41.5603557521522,47.2564508039988,24.3103599792743,24.4647205085143,27.8303068947898,,,,,,
1995-09-01,30.2142647907324,31.5865513848447,35.2064305954601,52.813511732272,55.2275136900578,61.5242616115201,26.2713568815281,27.4635421321934,30.6130812744252,38.2204932295964,39.9692411000236,44.5408413790477,24.4519703680328,25.548173187125,28.4831658216346,,,,,,
1995-10-01,29.5846544976629,30.7567659081182,34.6488115475211,51.8515587009565,53.9207899716998,60.7120721728738,25.6942773256666,26.7112638502438,30.0935084866376,36.7246157335786,38.1918643784466,43.0161230095157,24.0107010579404,24.9479471550351,28.1119591982176,,,,,,
