date,GCONEXP,GBUSEXP,GUNIEXPY,GUNIEXPYY,GMAREXPY,GMAREXPYY,GBONYLD
2023-07-01,4.60772850999672,2.19,4.25,3.35,3.6,2.7,2.54
2023-10-01,4.45811476858331,2.78,Not available for publication,Not available for publication,3.2,2.8,2.57
2024-01-01,4.3484419594189,2,Not available for publication,Not available for publication,3.1,2.7,2.45
2024-04-01,4.43148590491936,3.12,Not available for publication,Not available for publication,2.9,2.6,2.42
2024-07-01,4.43283384254083,1.72,Not available for publication,Not available for publication,2.7,2.8,2.34
2024-10-01,4.22306284494099,2.01,Not available for publication,Not available for publication,3.1,2.5,2.33
2025-01-01,3.6375200500582,1.71,Not available for publication,Not available for publication,3.1,2.5,2.16
2025-04-01,5.01562180199529,2.47,Not available for publication,Not available for publication,2.8,2.6,2.1
2025-07-01,4.69719469674346,1.65,Not available for publication,Not available for publication,2.8,2.6,2.34
2025-10-01,4.69764913459137,1.91,Not available for publication,Not available for publication,2.8,2.5,2.3
