Title,Description,Frequency,Type,Units,Source,Publication date,Series ID,Table,Table Description
Consumer inflation expectations – 1-year ahead,Survey measure of consumer inflation expectations; Trimmed mean for 1-year ahead annual inflation rate; End-quarter observation,Quarterly,Original,Per cent ,MI,12-Jun-2026,GCONEXP,G3,G3 INFLATION EXPECTATIONS
Business inflation expectations – 3-months ahead,Survey measure of business expectations; Increase in final prices for 3-months ahead; Annualised,Quarterly,Original,Per cent ,NAB ,26-Jun-2026,GBUSEXP,G3,G3 INFLATION EXPECTATIONS
Union officials' inflation expectations – 1-year ahead,Survey measure of union officials' inflation expectations; Median inflation for 1 year ahead; Year-ended,Quarterly,Original,Per cent ,"WRC, ERA, ACTU",08-May-2026,GUNIEXPY,G3,G3 INFLATION EXPECTATIONS
Union officials' inflation expectations – 2-year ahead,Survey measure of union officials' inflation expectations; Median inflation for 2 years ahead; Year-ended,Quarterly,Original,Per cent ,"WRC, ERA, ACTU",08-May-2026,GUNIEXPYY,G3,G3 INFLATION EXPECTATIONS
Market economists' inflation expectations – 1-year ahead,Survey measure of market economists' inflation expectations; Median inflation for 1 year ahead; Year-ended,Quarterly,Original,Per cent ,RBA,08-May-2026,GMAREXPY,G3,G3 INFLATION EXPECTATIONS
Market economists' inflation expectations – 2-year ahead,Survey measure of market economists' inflation expectations; Median inflation for 2 years ahead; Year-ended,Quarterly,Original,Per cent ,RBA,08-May-2026,GMAREXPYY,G3,G3 INFLATION EXPECTATIONS
Break-even 10-year inflation rate,Average annual inflation rate implied by the difference between 10-year nominal bond yield and 10-year inflation indexed bond yield; End-quarter observation,Quarterly,Original,Per cent ,RBA,07-Jul-2026,GBONYLD,G3,G3 INFLATION EXPECTATIONS
