Quarter,CPI
2021Q1,116.96219080279313
2021Q2,115.42415031239422
2021Q3,118.38965082404634
2021Q4,116.92501912097119
2022Q1,118.84209500750353
2022Q2,117.30602430558115
2022Q3,120.27349460570979
2022Q4,118.81083269111116
